GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.yashika.demo.repository,MyUserDetails,75,0,2,0,21,0,15,0,14,0
demo,com.yashika.demo.security,WebSecurityConfig,0,129,0,0,0,26,0,6,0,6
demo,com.yashika.demo.security,MapperConfig,0,7,0,0,0,2,0,2,0,2
demo,com.yashika.demo.security,WebConfig,0,9,0,0,0,3,0,2,0,2
demo,com.yashika.demo.dto,SpeakersDTO,138,0,24,0,4,0,23,0,11,0
demo,com.yashika.demo.dto,UsersDTO,73,0,0,0,12,0,21,0,21,0
demo,com.yashika.demo.dto,EventsDTO,138,0,24,0,4,0,23,0,11,0
demo,com.yashika.demo.entity,Events,58,35,3,1,8,12,11,6,9,6
demo,com.yashika.demo.entity,Users.UsersBuilder,108,0,0,0,1,0,14,0,14,0
demo,com.yashika.demo.entity,Speakers,34,21,0,0,3,8,6,5,6,5
demo,com.yashika.demo.entity,Users,103,84,1,3,7,26,17,13,16,12
demo,com.yashika.demo.entity,Roles,23,3,0,0,4,1,5,1,5,1
demo,com.yashika.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.yashika.demo.aop,SavingAOP,0,11,0,0,0,4,0,3,0,3
demo,com.yashika.demo.aop,DeletingAOP,0,11,0,0,0,4,0,3,0,3
demo,com.yashika.demo.aop,UpdatingAOP,4,7,0,0,2,2,1,2,1,2
demo,com.yashika.demo.services,SpeakerServiceImplementation,0,32,0,0,0,8,0,5,0,5
demo,com.yashika.demo.services,UserServiceImplementation,0,45,0,0,0,12,0,6,0,6
demo,com.yashika.demo.services,RoleServiceImplementation,28,6,0,0,7,3,4,1,4,1
demo,com.yashika.demo.services,UserDetailsServiceImplementation,17,3,2,0,4,1,2,1,1,1
demo,com.yashika.demo.services,EventsServiceImplementation,0,32,0,0,0,8,0,5,0,5
demo,com.yashika.demo.controller,EventsController,164,13,10,0,47,5,14,2,9,2
demo,com.yashika.demo.controller,SpeakerController,179,9,18,0,50,4,14,1,5,1
demo,com.yashika.demo.controller,LoginController,4,3,0,0,2,1,2,1,2,1
demo,com.yashika.demo.controller,UsersController,156,10,10,0,42,4,11,2,6,2
demo,com.yashika.demo.controller,CustomErrorController,37,3,8,0,11,1,5,1,1,1
